101,2024,258,1800,13.61,.427,13.37,5.829,21,4.412,96.5,1010,4.528
101,2024,258,1830,13.73,.85,13.47,16.95,31.55,4.61,95.6,1010,4.645
101,2024,258,1900,14.25,2.349,13.97,79.9,92.8,4.919,93.9,1010,4.8
101,2024,258,1930,14.2,1.703,13.93,57.53,72,5.181,94.7,1010,5.116
101,2024,258,2000,14.4,2.195,14.12,65.65,84.2,5.358,95.2,1009,5.388
101,2024,258,2030,14.56,2.047,14.28,54.89,82.2,5.577,92.8,1009,5.677
101,2024,258,2100,14.69,2.222,14.4,61.45,91.3,5.863,91.5,1009,5.909
101,2024,258,2130,15.16,2.535,14.87,98.6,130.3,6.275,90.6,1009,6.22
101,2024,258,2200,15.2,2.291,14.92,143.6,173.9,6.793,89.7,1008,6.7
101,2024,258,2230,15.2,2.044,14.92,198.4,231.2,7.4,86,1008,7.34
101,2024,258,2300,15.16,1.859,14.89,92,120.4,7.51,87.7,1008,8.05
101,2024,258,2330,15.16,1.733,14.89,56.45,85.1,7.57,85.8,1008,8.22
101,2024,258,2400,15.16,1.654,14.89,56.37,86.3,7.89,85.3,1007,8.22
101,2024,259,30,15.16,1.594,14.89,52.1,92.4,8.12,85,1007,8.32
101,2024,259,100,14.95,1.388,14.69,22.48,58.85,8.19,85.3,1007,8.37
101,2024,259,130,14.72,1.109,14.46,14.6,48.5,8.21,86.3,1006,8.34
101,2024,259,200,14.57,.795,14.31,.634,36.8,8.23,87.1,1006,8.29
101,2024,259,230,14.42,.444,14.17,-16.94,23.42,8.21,86.8,1006,8.22
101,2024,259,300,14.21,.182,13.97,-30.36,10.2,7.98,89.3,1005,8.11
101,2024,259,330,13.99,.003,13.75,-37.9,3.19,7.61,91.2,1005,7.88
101,2024,259,400,13.8,-.035,13.57,-42.71,1.171,7.33,92.6,1005,7.56
101,2024,259,430,13.67,-.033,13.43,-49.62,.158,7.11,93.6,1004,7.25
101,2024,259,500,13.59,-.033,13.35,-58.44,0,6.879,94.9,1004,6.972
101,2024,259,530,13.54,-.033,13.31,-58.28,0,6.727,94.1,1004,6.701
101,2024,259,600,13.52,-.033,13.28,-44.94,0,6.71,95.2,1003,6.527
101,2024,259,630,13.5,-.033,13.27,-39.67,0,6.478,95.1,1003,6.442
101,2024,259,700,13.49,-.033,13.25,-38.54,0,6.429,95.1,1003,6.348
101,2024,259,730,13.48,-.033,13.24,-42.23,.001,6.474,95.5,1002,6.271
101,2024,259,800,13.47,-.033,13.24,-49.22,0,6.374,95.6,1002,6.187
101,2024,259,830,13.46,-.033,13.23,-56.77,0,6.358,95.7,1002,6.058
101,2024,259,900,13.46,-.033,13.22,-76.1,.001,6.376,96.4,1001,5.952
101,2024,259,930,13.45,-.033,13.22,-89.6,.001,6.228,96.8,1001,5.844
101,2024,259,1000,13.45,-.033,13.21,-87.5,0,6.165,97.5,1000,5.745
101,2024,259,1030,13.44,-.033,13.21,-85.3,.002,6.171,97.3,1000,5.705
101,2024,259,1100,13.44,-.033,13.2,-82.1,0,6.117,97.8,999,5.679
101,2024,259,1130,13.44,-.033,13.2,-86.3,.002,6.097,97.7,999,5.66
101,2024,259,1200,13.43,-.033,13.2,-87.4,.001,5.823,97.9,999,5.589
101,2024,259,1230,13.43,-.033,13.19,-86.7,.002,5.733,97.3,999,5.424
101,2024,259,1300,13.43,-.033,13.19,-79.7,.001,6.378,95.7,998,5.376
101,2024,259,1330,13.42,-.033,13.19,-73.6,.002,7.03,95.3,998,5.709
101,2024,259,1400,13.42,-.033,13.19,-37.92,.525,7.53,92.1,998,6.169
101,2024,259,1430,13.46,.047,13.23,-8.42,5.325,8.23,91.6,997,6.798
101,2024,259,1500,13.65,.317,13.41,-15.63,16.66,8.23,90.8,997,7.37
101,2024,259,1530,14.07,.574,13.82,9.55,29.6,8.4,90,996,7.67
101,2024,259,1600,14.28,.474,14.03,-29.3,25.12,8.51,89.6,996,7.96
101,2024,259,1630,14.56,.597,14.3,22.19,30.96,8.68,88.6,996,8.23
101,2024,259,1700,14.65,.571,14.39,29.55,29.12,8.88,88.2,995,8.51
101,2024,259,1730,15.13,.9,14.86,52.82,52.92,8.9,88.2,995,8.79
101,2024,259,1800,15.16,.95,14.89,50.82,49.79,9.02,85.9,994,9.02
101,2024,259,1830,15.02,.925,14.76,53.89,48.23,9.22,85.5,994,9.23
101,2024,259,1900,15.02,1.062,14.76,68.86,61.14,9.16,85.8,994,9.4
101,2024,259,1930,15.13,1.238,14.87,97,85.9,9.32,84.8,994,9.59
101,2024,259,2000,15.13,1.35,14.87,141.2,140.4,9.67,82.1,993,9.83
101,2024,259,2030,15.11,1.451,14.85,192.5,191.8,9.91,80.4,993,10.14
101,2024,259,2100,15.1,1.556,14.84,281.9,318.2,10.55,79.1,993,10.65
101,2024,259,2130,15.06,1.605,14.81,202.2,238.1,10.56,78.9,992,11.27
101,2024,259,2200,15.03,1.648,14.78,216.4,256.9,10.69,77.6,992,11.49
101,2024,259,2230,15.03,1.752,14.77,179.8,227.2,10.85,75.1,991,11.63
101,2024,259,2300,15.01,1.827,14.76,249,337.9,11.71,74,991,11.93
101,2024,259,2330,14.99,1.938,14.74,164,255.3,11.71,73.1,991,12.61
101,2024,259,2400,14.97,2.045,14.72,153.5,247.6,12.07,67.93,990,12.86
101,2024,260,30,14.96,2.176,14.71,180.4,269.6,12.6,69.52,990,13.23
101,2024,260,100,14.93,2.252,14.68,52.73,128.3,12.03,73.8,990,13.6
101,2024,260,130,14.9,2.293,14.65,84.9,137.4,12.25,71.5,990,13.08
